cid,smiles
cid_0,B
cid_1,B([C@@H]1CCCN1C(=O)[C@@H]2CCCN2)(O)O
cid_2,B([C@H](CC(C)C)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)(O)O
cid_3,C#C
cid_4,C#CC(CCC(=O)O)N
cid_5,C#CCN(CC1=CC2=C(C=C1)NC(=NC2=O)N)C3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O
cid_6,C#CCN(CC1=CC2=C(C=C1)NC(=NC2=O)N)C3=CC=C(C=C3)C(=O)N[C@@H](CCC(=O)O)C(=O)O
cid_7,C#CCO
cid_8,C(#N)S
cid_9,C(=C(F)F)Cl
cid_10,C(=C(\O)/[O-])\[C@H](C(=O)[O-])O
cid_11,C(=C/C(=O)O)\C(=O)O
cid_12,C(=N)(N)N
cid_13,C(=O)(C(=O)O)N
cid_14,C(=O)(C(=O)O)O
cid_15,C(=O)(C(=O)[O-])N
cid_16,C(=O)(C(=O)[O-])[O-]
cid_17,C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O
cid_18,C(=O)(C(C(C(F)(F)F)(F)F)(F)F)O
cid_19,C(=O)(C(F)(F)F)O
cid_20,C(=O)(C(F)(F)F)OC(=O)C(F)(F)F
cid_21,C(=O)(N)NN
cid_22,C(=O)(N)[O-]
cid_23,C(=O)([O-])[O-]
cid_24,C(=O)C(=O)O
cid_25,C(=O)C(Cl)Cl
cid_26,C(=O)C=O
cid_27,C(=O)O
cid_28,C(=O)[O-]
cid_29,C(Br)(Br)Br
cid_30,C(Br)Br
cid_31,C(C#N)C(C(=O)O)N
cid_32,C(C(=O)C(=O)O)C(=O)O
cid_33,C(C(=O)C(=O)O)O
cid_34,C(C(=O)C(=O)O)S
cid_35,C(C(=O)C(=O)O)S(=O)(=O)O
cid_36,C(C(=O)CO)O
cid_37,C(C(=O)COP(=O)(O)O)O
cid_38,C(C(=O)N)I
cid_39,C(C(=O)O)(C(=O)O)N
cid_40,C(C(=O)O)C(=O)O
cid_41,C(C(=O)O)N
cid_42,C(C(=O)O)N(C=O)O
cid_43,C(C(=O)O)N(CC(=O)O)CC(=O)O
cid_44,C(C(=O)O)N=C(N)N
cid_45,C(C(=O)O)NCC(=O)O
cid_46,C(C(=O)O)OP(=O)(O)O
cid_47,C(C(=O)[O-])(C(=O)[O-])O
cid_48,C(C(=O)[O-])Br
cid_49,C(C(=O)[O-])C(CC(=O)[O-])(C(=O)O)O
cid_50,C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])O
cid_51,C(C(=O)[O-])F
cid_52,C(C(Br)(Br)Br)O
cid_53,C(C(Br)Br)(Br)Br
cid_54,C(C(C(=O)C(=O)O)C(=O)O)C(=O)O
cid_55,C(C(C(=O)O)F)[NH3+]
cid_56,C(C(C(=O)O)N)C(=O)O
cid_57,C(C(C(=O)O)N)Cl
cid_58,C(C(C(=O)O)N)N
cid_59,C(C(C(=O)O)N)O
cid_60,C(C(C(=O)O)N)OP(=O)(O)O
cid_61,C(C(C(=O)O)NC(=O)N)C(=O)O
cid_62,C(C(C(=O)O)O)(C(=O)O)N
cid_63,C(C(C(=O)O)O)(C(=O)O)O
cid_64,C(C(C(=O)O)O)C(=O)O
cid_65,C(C(C(=O)O)O)O
cid_66,C(C(C(=O)O)O)OP(=O)(O)O
cid_67,C(C(C(=O)O)S)(C(=O)O)S
cid_68,C(C(C(=O)O)S)C(=O)O
cid_69,C(C(C(C(=O)CO)O)O)O
cid_70,C(C(C(C(=O)O)O)C(=O)O)C(=O)O
cid_71,C(C(C(C(=O)O)O)O)(C(C(=O)O)O)O
cid_72,C(C(C(C(=O)[O-])O)O)OP(=O)(O)O
cid_73,C(C(C(C(C(=O)C(=O)O)O)O)O)O
cid_74,C(C(C(C(C(=O)CO)O)O)O)O
cid_75,C(C(C(C(C(C(=O)CO)O)O)O)O)OP(=O)(O)O
cid_76,C(C(C(C(C(C(=O)O)O)O)O)O)O
cid_77,C(C(C(C(C(CO)O)O)O)O)C(=O)C(=O)O
cid_78,C(C(C(C(C(CO)O)O)O)O)O
cid_79,C(C(C(C(C(COP(=O)(O)O)O)O)O)N)O
cid_80,C(C(C(CO)O)O)O
cid_81,C(C(C=O)O)O
cid_82,C(C(CBr)Br)Cl
cid_83,C(C(CC(=O)O)C(=O)O)C(=O)O
cid_84,C(C(CC(=O)O)O)C(=O)O
cid_85,C(C(CO)(CO)CO)O
cid_86,C(C(CO)O)O
cid_87,C(C(CO)OP(=O)(O)O)O
cid_88,C(C(COP(=O)(O)O)O)O
cid_89,C(C(CO[N+](=O)[O-])O[N+](=O)[O-])O[N+](=O)[O-]
cid_90,C(C(Cl)(Cl)Cl)(Cl)Cl
cid_91,C(C(Cl)(Cl)Cl)O
cid_92,C(C(F)(F)F)Cl
cid_93,C(C(F)(F)F)O
cid_94,C(C1C(C(C(C(=O)O1)O)O)O)O
cid_95,C(C1C(C(C(C(O1)O)O)O)O)O
cid_96,C(C1C(C(C(C(O1)O)O)O)O)OP(=O)(O)O
cid_97,C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)OC3C(OC(C(C3O)O)O)CO)CO)O)O)O)O
cid_98,C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)OC3C(OC(C(C3O)O)OC4C(OC(C(C4O)O)O)CO)CO)CO)O)O)O)O
cid_99,C(C1C(C(C(C(O1)OP(=O)(O)O)O)O)O)O
cid_100,C(C1C(C(C(O1)O)O)O)O
cid_101,C(C=O)C(=O)O
cid_102,C(C=O)C(C(CO)O)O
cid_103,C(C=O)Cl
cid_104,C(C=O)O
cid_105,C(CC(=O)C(=O)O)CC(=O)O
cid_106,C(CC(=O)N)C(=O)C(=O)O
cid_107,C(CC(=O)N)C(=O)N
cid_108,C(CC(=O)N)[C@@H](C(=O)O)N
cid_109,C(CC(=O)NC(CSN=O)C(=O)NCC(=O)O)C(C(=O)O)N
cid_110,C(CC(=O)N[C@@H](CS)C(=O)NCC(=O)O)[C@@H](C(=O)O)N
cid_111,C(CC(=O)O)C(=O)C(=O)O
cid_112,C(CC(=O)O)C(=O)CC(=O)O
cid_113,C(CC(=O)O)C(=O)CN
cid_114,C(CC(=O)O)C(C(=O)O)N
cid_115,C(CC(=O)O)C(C(=O)O)O
cid_116,C(CC(=O)O)C=O
cid_117,C(CC(=O)O)CC(=O)O
cid_118,C(CC(=O)O)CN
cid_119,C(CC(=O)O)CN=C(N)N
cid_120,C(CC(=O)O)CO
cid_121,C(CC(=O)O)[C@@H](C(=O)O)N
cid_122,C(CC(=O)[O-])C(=O)[O-]
cid_123,C(CC(C(=O)O)N)C=O
cid_124,C(CC(C(=O)O)N)CC(=O)O
cid_125,C(CC(C(=O)O)N)CC(C(=O)O)N
cid_126,C(CC(C(=O)O)N)CN
cid_127,C(CC(C(F)F)(C(=O)O)N)CN
cid_128,C(CC(CC(=O)O)N)CN
cid_129,C(CC(O)(P(=O)(O)O)P(=O)(O)O)CN
cid_130,C(CC=O)CC=O
cid_131,C(CCC(=O)N)CC(CCS)S
cid_132,C(CCC(=O)O)CC(=O)O
cid_133,C(CCC(=O)O)CC(CCS)S
cid_134,C(CCC(=O)O)CCN
cid_135,C(CCC(=O)O)C[C@H](CCS)S
cid_136,C(CCCC(=O)O)CCC(=O)O
cid_137,C(CCCC(=O)O)CCCC(=O)O
cid_138,C(CCCCC(=O)O)CCCC(=O)O
cid_139,C(CCCN)CCCNC(N)N
cid_140,C(CCCO)CCO
cid_141,C(CCN)CC(=O)O
cid_142,C(CCN)CC(C(=O)O)N
cid_143,C(CCN)CCN
cid_144,C(CCN)CN
cid_145,C(CCN)C[C@@H](C(=O)O)N
cid_146,C(CCO)CO
cid_147,C(CCl)N(CCCl)CCCl
cid_148,C(CCl)O
cid_149,C(CN(CC(=O)O)CC(=O)O)N(CC(=O)O)CC(=O)O
cid_150,C(CN(CC(=O)O)CC(=O)O)N(CCN(CC(=O)O)CC(=O)O)CC(=O)O
cid_151,C(CN)C#N
cid_152,C(CN)C(=O)O
cid_153,C(CN)C(C(=O)O)N
cid_154,C(CN)CN
cid_155,C(CN)CO
cid_156,C(CNC(=O)N)C(=O)O
cid_157,C(CNC(CO)(CO)CO)CNC(CO)(CO)CO
cid_158,C(CO)C(C(=O)O)N
cid_159,C(CO)C(CCO)(CCO)N
cid_160,C(CO)NN
cid_161,C(CO)O
cid_162,C(CO)[C@@H](C(=O)O)N
cid_163,C(COCCOCCO)O
cid_164,C(CON=C(N)N)[C@@H](C(=O)O)N
cid_165,C(CP(=O)(O)O)C(=O)O
cid_166,C(CS)C(=O)O
cid_167,C(CS)C(C(=O)O)N
cid_168,C(CS)O
cid_169,C(CS)[C@@H](C(=O)O)N
cid_170,C(CSC(=N)N)N
cid_171,C(CSCC(C(=O)O)N)C(C(=O)O)N
cid_172,C(CSC[C@@H](C(=O)O)N)O
cid_173,C(CSSCCO)O
cid_174,C(CSSC[C@@H](C(=O)O)N)O
cid_175,C(CS[C@@H](CC(=O)O)C(=O)O)N=C(N)N
cid_176,C(C[C@@H](C(=O)O)N)CN
cid_177,C(C[C@@H](C(=O)O)N)CN=C(N)N
cid_178,C(C[C@@H](C(=O)O)N)CNC(=O)N
cid_179,C([C@@H](C(=O)O)N)C(=O)N
cid_180,C([C@@H](C(=O)O)N)C(=O)O
cid_181,C([C@@H](C(=O)O)N)C(=O)OP(=O)(O)O
cid_182,C([C@@H](C(=O)O)N)N1C(=O)NC(=O)O1
cid_183,C([C@@H](C(=O)O)N)O
cid_184,C([C@@H](C(=O)O)N)OP(=O)(O)O
cid_185,C([C@@H](C(=O)O)N)S
cid_186,C([C@@H](C(=O)O)N)S(=O)(=O)O
cid_187,C([C@@H](C(=O)O)N)SCC(=O)O
cid_188,C([C@@H](C(=O)O)N)SO
cid_189,C([C@@H](C(=O)O)N)SP(=O)(O)O
cid_190,C([C@@H](C(=O)O)N)SS
cid_191,C([C@@H](C(=O)O)N)SS(=O)(=O)O
cid_192,C([C@@H]([C@@H]([C@H]([C@H](C(=O)O)O)O)O)O)O
cid_193,C([C@@H]([C@H]([C@@H](C(=O)CO)O)O)O)O
cid_194,C([C@@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)O[C@@H]2[C@H](O[C@@]([C@H]2O)(CO)O)CO)O)O)O)O
cid_195,C([C@@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)O[C@@H]2[C@H](O[C@H]([C@@H]([C@H]2O)O)O)CO)O)O)O)O
cid_196,C([C@@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)O[C@H]([C@@H](CO)O)[C@@H]([C@H](C(=O)O)O)O)O)O)O)O
cid_197,C([C@@H]1[C@H]([C@@H]([C@H](C(=O)O1)O)O)O)O
cid_198,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)OP(=O)(O)O)O)O)O)O
cid_199,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O)O)O)O
cid_200,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]2[C@H](O[C@H]([C@@H]([C@H]2O)O)O)CO)O)O)O)O
cid_201,C([C@@H]1[C@H]([C@H]([C@H](O1)OP(=O)(O)OP(=O)(O)O)O)O)OP(=O)(O)O
cid_202,C([C@H](C([C@H](CO)O)O)O)O
cid_203,C([C@H](C=O)O)OP(=O)(O)O
cid_204,C([C@H](CS)O)O
cid_205,C([C@H]([C@@H](CS)O)O)S
cid_206,C([C@H]([C@@H]([C@@H]([C@H](CO)O)O)O)O)O
cid_207,C([C@H]([C@@H]1C(=O)C(=C(O1)O)O)O)O
cid_208,C([C@H]([C@H]([C@@H]([C@H](C(=O)[O-])O)O)O)O)O
cid_209,C([C@H]([C@H]([C@@H]([C@H](CO)O)O)O)O)O
cid_210,C/C=C(/C(=O)O)\NC
cid_211,C/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CCC=C(C)C
cid_212,C/C=C(\C)/CC/C=C(\C)/CCC=C(C)C
cid_213,C/C=C/C=O
cid_214,C1(=C(C(=C(C(=C1Br)Br)Br)Br)Br)O
cid_215,C1(=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl)Cl
cid_216,C1(=C(C2=NNN=C2C(=C1Br)Br)Br)Br
cid_217,C1(=NONC1=O)C(=O)O
cid_218,C1(=O)C2(C3(C4(C1(C5(C2(C3(C(C45Cl)(Cl)Cl)Cl)Cl)Cl)Cl)Cl)Cl)Cl
cid_219,C1(C(C(C(=O)C(C1O)O)O)O)O
cid_220,C1(C(C(C(C(C1O)O)O)O)O)O
cid_221,C1(C(C(C(C(C1OP(=O)(O)O)O)OP(=O)(O)O)OP(=O)(O)O)O)O
cid_222,C1(C(C(C(C(C1OP(=O)(O)O)OP(=O)(O)O)O)OP(=O)(O)O)OP(=O)(O)O)O
cid_223,C1(C(C(C(C(C1OP(=O)(O)O)OP(=O)(O)O)OP(=O)(O)O)OP(=O)(O)O)OP(=O)(O)O)O
cid_224,C12=C(NC(=O)N1)NC(=O)NC2=O
cid_225,C1=C(C(=C(C(=C1Cl)Cl)CC2=C(C(=CC(=C2Cl)Cl)Cl)O)O)Cl
cid_226,C1=C(C(=CC(=C1Cl)Cl)Cl)OCC#CI
cid_227,C1=C(C(=CC(=C1Cl)O)Cl)O
cid_228,C1=C(C(=CC2=NC(=O)C(=O)N=C21)[N+](=O)[O-])[N+](=O)[O-]
cid_229,C1=C(C(=NC(=O)N1[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O)N)F
cid_230,C1=C(C(=O)NC(=O)N1)C2C(C(C(O2)COP(=O)(O)O)O)O
cid_231,C1=C(C(=O)NC(=O)N1)F
cid_232,C1=C(C(=O)NC(=O)N1)I
cid_233,C1=C(C(=O)NC(=O)N1C2C(C(C(O2)CO)O)O)F
cid_234,C1=C(C(=O)NC(=O)N1C[C@@H](C(=O)O)N)Br
cid_235,C1=C(C(=O)NC(=O)N1C[C@@H](C(=O)O)N)F
cid_236,C1=C(C(=O)NC(=O)N1C[C@@H](C(=O)O)N)I
cid_237,C1=C(C(=O)NC(=O)N1[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O)F
cid_238,C1=C(C(=O)NO1)C(=O)O
cid_239,C1=C(C(=O)NO1)C[C@@H](C(=O)O)N
cid_240,C1=C(C2=C(N1)C(=O)N=CN2)C3C(C(C(N3)CO)O)O
cid_241,C1=C(C2=C(N1)C(=O)N=CN2)C3C(C(C(O3)CO)O)O
cid_242,C1=C(C=C(C(=C1Br)O)Br)Br
cid_243,C1=C(C=C(C(=C1Cl)O)Cl)C2=CC(=C(C(=C2)Cl)O)Cl
cid_244,C1=C(C=C(C(=C1Cl)O)SC2=CC(=CC(=C2O)Cl)Cl)Cl
cid_245,C1=C(C=C(C(=C1I)I)C(=O)O)I
cid_246,C1=C(C=C(C(=C1I)O)C(=O)O)I
cid_247,C1=C(C=C(C(=C1I)O)I)C[C@@H](C(=O)O)N
cid_248,C1=C(C=C(C(=C1I)O)I)[N+](=O)[O-]
cid_249,C1=C(C=C(C(=C1I)OC2=CC(=C(C(=C2)I)O)I)I)CC(=O)O
cid_250,C1=C(C=C(C(=C1I)OC2=CC(=C(C(=C2)I)O)I)I)CC(C(=O)O)N
cid_251,C1=C(C=C(C(=C1I)OC2=CC(=C(C(=C2)I)O)I)I)C[C@@H](C(=O)O)N
cid_252,C1=C(C=C(C(=C1O)O)O)C(=O)O
cid_253,C1=C(C=C(C(=C1O)O)O)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O
cid_254,C1=C(C=C(C(=C1O)O)O)C2=CC(=O)C3=C(C=C(C=C3O2)O)O
cid_255,C1=C(C=C(C(=C1[N+](=O)[O-])Cl)[N+](=O)[O-])[N+](=O)[O-]
cid_256,C1=C(C=C(C(=C1[N+](=O)[O-])O)[N+](=O)[O-])[N+](=O)[O-]
cid_257,C1=C(C=C(C=C1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
cid_258,C1=C(C=C2C(=C1Cl)C(=C(N2)C(=O)O)CCC(=O)O)Cl
cid_259,C1=C(C=C2C(=C1O)C(=O)/C(=C/C3=CC(=C(C(=C3O)Br)O)Br)/O2)O
cid_260,C1=C(N=C2C(=N1)NC(=NC2=O)N)C(C(CO)O)O
cid_261,C1=C(NC(=O)N=C1)N
cid_262,C1=C(NC(=O)NC1=O)C(=O)O
cid_263,C1=C(NC(=O)NC1=O)CC(=O)O
cid_264,C1=C(NC=N1)CC(CO)N
cid_265,C1=C(NC=N1)C[C@@H](C(=O)O)N
cid_266,C1=C(ONC1=O)C(C(=O)O)N
cid_267,C1=C2C(=CC(=C1Cl)Cl)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O
cid_268,C1=C2C(=CC(=C1Cl)S(=O)(=O)N)S(=O)(=O)N[C@@H](N2)C(Cl)Cl
cid_269,C1=C2C(=NC=N1)N=CN2
cid_270,C1=C2C3=C(C(=C1O)O)OC(=O)C4=CC(=C(C(=C43)OC2=O)O)O
cid_271,C1=CC(=C(C(=C1)Cl)C2=C3C=CC(=NN3C=NC2=O)SC4=C(C=C(C=C4)F)F)Cl
cid_272,C1=CC(=C(C(=C1)Cl)CC(=O)N=C(N)N)Cl
cid_273,C1=CC(=C(C(=C1)Cl)Cl)C2=NC3=C(C=NN3C(=C2)NCC4=CC=NC=C4)SC#N
cid_274,C1=CC(=C(C(=C1)Cl)O)Cl
cid_275,C1=CC(=C(C(=C1)F)C2=CC=C(C=C2)C(=O)O)F
cid_276,C1=CC(=C(C(=C1)F)NC(=S)N2C(=NC(=N2)NC3=CC=C(C=C3)S(=O)(=O)N)N)F
cid_277,C1=CC(=C(C(=C1)O)N)C(=O)O
cid_278,C1=CC(=C(C(=C1Cl)C(=O)O)Cl)Cl
cid_279,C1=CC(=C(C2=C1C(=O)C3=C(C=CC(=C3C2=O)O)O)O)O
cid_280,C1=CC(=C(C=C1/C=C/C2=CC(=CC(=C2)O)O)O)O
cid_281,C1=CC(=C(C=C1C(=O)O)O)O
cid_282,C1=CC(=C(C=C1C(F)(F)F)N=C(N)N=C(N)N)Cl
cid_283,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O
cid_284,C1=CC(=C(C=C1C2=C(C(=O)C3=C(O2)C=C(C=C3)O)O)O)O
cid_285,C1=CC(=C(C=C1C2=C(C=C(C=C2)F)F)C(=O)O)O
cid_286,C1=CC(=C(C=C1C2=CC=C(O2)/C=C\3/C(=O)N=C(S3)N)C(F)(F)F)S(=O)(=O)N
cid_287,C1=CC(=C(C=C1C=C(C#N)C#N)O)O
cid_288,C1=CC(=C(C=C1CC(C(=O)O)N)O)O
cid_289,C1=CC(=C(C=C1CCN)O)O
cid_290,C1=CC(=C(C=C1CNC2=NC3=C(N2[C@H]4[C@@H]([C@@H]([C@H](O4)CO)O)O)N=CN=C3N)Cl)Cl
cid_291,C1=CC(=C(C=C1C[C@@H](C(=O)O)N)F)O
cid_292,C1=CC(=C(C=C1C[C@@H](C(=O)O)N)I)O
cid_293,C1=CC(=C(C=C1C[C@@H](C(=O)O)N)O)O
cid_294,C1=CC(=C(C=C1C[C@@H](C(=O)O)N)[N+](=O)[O-])O
cid_295,C1=CC(=C(C=C1Cl)Cl)Cl
cid_296,C1=CC(=C(C=C1Cl)O)OC2=C(C=C(C=C2)Cl)Cl
cid_297,C1=CC(=C(C=C1F)F)C(CN2C=NC=N2)(CN3C=NC=N3)O
cid_298,C1=CC(=C(C=C1I)Cl)NC2=C(C=CC(=C2F)F)C(=O)NOC[C@@H](CO)O
cid_299,C1=CC(=C(C=C1I)F)NC2=C(C=CC(=C2F)F)C(=O)NOC[C@@H](CO)O
cid_300,C1=CC(=C(C=C1I)F)NC2=C(C=CC(=C2F)F)C3=NN=C(O3)NCCN
cid_301,C1=CC(=C(C=C1N)C(=O)O)O
cid_302,C1=CC(=C(C=C1N)O)C(=O)O
cid_303,C1=CC(=C(C=C1O)O)C(=O)O
cid_304,C1=CC(=C(C=C1O)O)C2=C3C=CC(=O)C=C3NN2
cid_305,C1=CC(=C(C=C1OCCCC(=O)O)Cl)NC(=O)NC(=O)C2=C(C=C(C=C2)Cl)Cl
cid_306,C1=CC(=C(C=C1S)C(=O)O)[N+](=O)[O-]
cid_307,C1=CC(=C(C=C1[C@@H](CN)O)O)O
cid_308,C1=CC(=C(C=C1[C@H](CN)O)O)O
cid_309,C1=CC(=C(C=C1[N+](=O)[O-])OS(=O)(=O)O)O
cid_310,C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])Cl
cid_311,C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])F
cid_312,C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])O
cid_313,C1=CC(=C(N=C1)C(=O)O)C(=O)O
cid_314,C1=CC(=CC(=C1)Br)C2=CC(=[N+]3C(=N2)C=CN3)NCC4=CC=NC=C4
cid_315,C1=CC(=CC(=C1)C#N)C#N
cid_316,C1=CC(=CC(=C1)C(=O)O)/C=N/OCCO/N=C/C2=CC(=O)NC(=O)N2
cid_317,C1=CC(=CC(=C1)C(=O)O)C(=O)O
cid_318,C1=CC(=CC(=C1)Cl)C(=O)O
cid_319,C1=CC(=CC(=C1)Cl)C\2=CNN/C2=C/3\C=C(N=C3)C(=O)N[C@H](CO)C4=CC(=C(C=C4)F)Cl
cid_320,C1=CC(=CC(=C1)N)C(=O)O
cid_321,C1=CC(=CC(=C1)O)C2=CC(=O)NS2(=O)=O
cid_322,C1=CC(=CC(=C1)O)CO
cid_323,C1=CC(=CC(=C1)OC(F)(F)F)C2=CC(=C(C(=C2)F)NC(=O)C3=C(SC=C3)C(=O)O)F
cid_324,C1=CC(=CC(=C1)OC[C@H](CO)O)C(=O)C2=C(N(N=C2)C3=CC=C(C=C3)F)N
cid_325,C1=CC(=CC(=C1)[N+](=O)[O-])C(=O)NC2=CC(=C(C=C2)OC3=CC(=C(C=C3)C(=O)O)C(=O)O)NC(=O)C4=CC(=CC=C4)[N+](=O)[O-]
cid_326,C1=CC(=CC(=C1)[N+](=O)[O-])N
cid_327,C1=CC(=CC(=C1)[N+](=O)[O-])[N+](=O)[O-]
cid_328,C1=CC(=CC2=C1C=CC(=C2)C(F)(F)P(=O)(O)O)C(F)(F)P(=O)(O)O
cid_329,C1=CC(=CC2=NC3=C(C=CC(=C3)N)C=C21)N
cid_330,C1=CC(=CC=C1/C=C/C2=CC(=CC(=C2)O)O)O
cid_331,C1=CC(=CC=C1C#N)C2=CC=C(C=C2)OCCC(=O)NO
cid_332,C1=CC(=CC=C1C(=N)N)OCCCCCOC2=CC=C(C=C2)C(=N)N
cid_333,C1=CC(=CC=C1C(=O)NC(CCC(=O)O)C(=O)O)NCC2=CN=C3C(=N2)C(=NC(=N3)N)N
cid_334,C1=CC(=CC=C1C(=O)N[C@@H](CCC(=O)O)C(=O)O)NCC2=CN=C3C(=N2)C(=O)N=C(N3)N
cid_335,C1=CC(=CC=C1C(=O)O)Cl
cid_336,C1=CC(=CC=C1C(=O)O)F
cid_337,C1=CC(=CC=C1C(=O)O)N
cid_338,C1=CC(=CC=C1C(=O)O)N=C(N)N
cid_339,C1=CC(=CC=C1C(=O)O)O
cid_340,C1=CC(=CC=C1C(=O)O)[Hg]
cid_341,C1=CC(=CC=C1C(C(=O)O)O)O
cid_342,C1=CC(=CC=C1C(C(F)(F)F)(C(F)(F)F)O)NCC(F)(F)F
cid_343,C1=CC(=CC=C1C(C2=CC=C(C=C2)Cl)C(Cl)(Cl)Cl)Cl
cid_344,C1=CC(=CC=C1C(CN)O)O
cid_345,C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O
cid_346,C1=CC(=CC=C1C2=C(C=NN2)C3=CC=NC=C3)F
cid_347,C1=CC(=CC=C1C2=C(NN=C2)C3=CC(=NC=C3)F)F
cid_348,C1=CC(=CC=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O
cid_349,C1=CC(=CC=C1C2=CC3=C(C=C2)C(=C(C=C3)O)Cl)O
cid_350,C1=CC(=CC=C1C2=CC=C(O2)/C=C\3/C(=O)N=C(S3)N)C(=O)O
cid_351,C1=CC(=CC=C1C2=COC3=C(C2=O)C=CC(=C3)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O
cid_352,C1=CC(=CC=C1C2=COC3=CC(=CC(=C3C2=O)O)O)O
cid_353,C1=CC(=CC=C1C=O)O
cid_354,C1=CC(=CC=C1C=O)[N+](=O)[O-]
cid_355,C1=CC(=CC=C1CC(C(=O)O)N)Cl
cid_356,C1=CC(=CC=C1CC(C(=O)O)N)O
cid_357,C1=CC(=CC=C1CC2=CC=C(C=C2)OP(=O)(O)O)OP(=O)(O)O
cid_358,C1=CC(=CC=C1CCCC(=O)O)N(CCCl)CCCl
cid_359,C1=CC(=CC=C1CCN)O
cid_360,C1=CC(=CC=C1CCN)S(=O)(=O)F
cid_361,C1=CC(=CC=C1CCNC2=NC=NC3=C2N=CN3C4C(C(C(O4)CO)O)O)N
cid_362,C1=CC(=CC=C1CN)NC(=O)C(=O)O
cid_363,C1=CC(=CC=C1CO)O
cid_364,C1=CC(=CC=C1CP(=O)(C[C@@H](CCC(=O)O)C(=O)O)O)I
cid_365,C1=CC(=CC=C1CSC2=NC=NC3=C2N=CN3C4C(C(C(O4)CO)O)O)[N+](=O)[O-]
cid_366,C1=CC(=CC=C1CSC[C@@H](C(=O)O)NC(=O)N[C@@H](CCC(=O)O)C(=O)O)F
cid_367,C1=CC(=CC=C1C[C@@H](C(=O)N)N)O
